,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
0,BUY,2024-04-17 15:00:00,2024-04-17 19:00:00,2386.27,2374.34,2374.34,2410.13,0.08,loss,-100.56,9899.44
1,BUY,2024-04-19 08:00:00,2024-04-22 06:00:00,2384.34,2372.42,2372.42,2408.18,0.08,loss,-99.55,9799.89
2,BUY,2024-04-19 14:00:00,2024-04-22 06:00:00,2379.81,2367.91,2367.91,2403.61,0.08,loss,-98.56,9701.33
3,SELL,2024-04-23 08:00:00,2024-04-23 16:00:00,2305.26,2316.79,2316.79,2282.21,0.08,loss,-97.57,9603.76
4,SELL,2024-04-25 15:00:00,2024-04-25 17:00:00,2327.68,2339.32,2339.32,2304.4,0.08,loss,-96.6,9507.16
5,SELL,2024-04-30 13:00:00,2024-04-30 22:00:00,2312.48,2289.36,2324.04,2289.36,0.08,win,189.58,9696.74
6,SELL,2024-05-03 15:00:00,2024-05-03 16:00:00,2301.71,2278.69,2313.22,2278.69,0.08,win,193.37,9890.11
7,SELL,2024-05-09 08:00:00,2024-05-09 15:00:00,2313.68,2325.25,2325.25,2290.54,0.09,loss,-99.53,9790.58
8,BUY,2024-05-14 03:00:00,2024-05-24 18:00:00,2339.38,2334.53,2273.25,2471.64,0.01,loss,-4.92,9785.66
9,BUY,2024-05-14 14:00:00,2024-05-27 06:00:00,2346.55,2346.02,2273.25,2493.15,0.01,loss,-0.6,9785.06
10,BUY,2024-05-15 14:00:00,2024-05-28 09:00:00,2365.72,2341.85,2273.25,2550.66,0.01,loss,-23.94,9761.12
11,BUY,2024-05-20 07:00:00,2024-05-31 02:00:00,2440.3,2343.98,2273.25,2774.4,0.01,loss,-96.39,9664.73
12,BUY,2024-05-21 07:00:00,2024-06-03 02:00:00,2415.38,2325.87,2273.25,2699.64,0.01,loss,-89.58,9575.15
13,BUY,2024-05-21 09:00:00,2024-06-03 04:00:00,2413.61,2330.77,2273.25,2694.33,0.01,loss,-82.91,9492.24
14,BUY,2024-05-22 07:00:00,2024-06-04 02:00:00,2415.86,2350.55,2273.25,2701.08,0.01,loss,-65.38,9426.86
15,SELL,2024-05-30 07:00:00,2024-05-30 15:00:00,2332.27,2343.93,2343.93,2308.95,0.08,loss,-94.83,9332.03
16,SELL,2024-05-31 09:00:00,2024-05-31 15:00:00,2342.85,2354.56,2354.56,2319.42,0.08,loss,-93.88,9238.15
17,SELL,2024-06-04 15:00:00,2024-06-05 15:00:00,2332.12,2343.78,2343.78,2308.8,0.08,loss,-92.94,9145.21
18,SELL,2024-06-10 08:00:00,2024-06-10 14:00:00,2292.67,2304.13,2304.13,2269.74,0.08,loss,-92.01,9053.2
19,BUY,2024-06-19 13:00:00,2024-07-02 08:00:00,2330.93,2329.91,2281.22,2430.35,0.02,loss,-2.18,9051.02
20,BUY,2024-06-20 15:00:00,2024-07-03 07:00:00,2341.61,2334.47,2281.22,2462.39,0.01,loss,-7.21,9043.81
21,BUY,2024-06-21 13:00:00,2024-07-04 05:00:00,2366.63,2359.24,2281.22,2537.45,0.01,loss,-7.46,9036.35
22,SELL,2024-06-27 07:00:00,2024-06-27 12:00:00,2297.48,2308.97,2308.97,2274.51,0.08,loss,-90.92,8945.43
23,SELL,2024-06-28 02:00:00,2024-06-28 13:00:00,2324.69,2336.31,2336.31,2301.44,0.08,loss,-90.01,8855.42
24,SELL,2024-06-28 15:00:00,2024-07-03 10:00:00,2332.46,2344.12,2344.12,2309.14,0.08,loss,-89.11,8766.31
25,BUY,2024-07-02 14:00:00,2024-07-03 15:00:00,2323.72,2349.72,2310.72,2349.72,0.07,win,174.84,8941.15
