entry_time,exit_time,signal,signal_type,entry_price,exit_price,result,exit_reason,r_multiple,pnl,balance
2025-12-24 11:00:00+00:00,2025-12-24 16:00:00+00:00,BUY,BUY_TREND,4494.67,4467.83,loss,SL_PHASE1,-1.0,-100.0,9900.0
2025-12-30 08:00:00+00:00,2025-12-30 11:00:00+00:00,SELL,SELL_REVERSAL,4364.78,4364.78,win,TRAIL_EXIT,0.0,49.5,9949.5
2025-12-31 12:00:00+00:00,2026-01-02 01:00:00+00:00,SELL,SELL_TREND,4306.47,4347.71,loss,SL_PHASE1,-1.0,-99.5,9850.0
2026-01-02 08:00:00+00:00,2026-01-05 01:00:00+00:00,SELL,SELL_REVERSAL,4374.74,4364.23,win,TRAIL_EXIT,0.5,49.25,9899.26
2026-01-05 17:00:00+00:00,2026-01-06 11:00:00+00:00,BUY,BUY_TREND,4448.54,4448.54,win,TRAIL_EXIT,0.0,49.5,9948.75
2026-01-06 15:00:00+00:00,2026-01-07 03:00:00+00:00,BUY,BUY_TREND,4467.99,4467.99,win,TRAIL_EXIT,0.0,49.74,9998.5
2026-01-08 20:00:00+00:00,2026-01-08 22:00:00+00:00,SELL,SELL_REVERSAL,4449.58,4473.92,loss,SL_PHASE1,-1.0,-99.98,9898.51
2026-01-09 13:00:00+00:00,2026-01-12 01:00:00+00:00,BUY,BUY_TREND,4475.4,4522.45,win,TP2,3.0,296.96,10195.47
2026-01-12 15:00:00+00:00,2026-01-13 03:00:00+00:00,BUY,BUY_TREND,4615.79,4586.45,loss,SL_PHASE1,-1.0,-101.95,10093.51
2026-01-14 14:00:00+00:00,2026-01-14 16:00:00+00:00,BUY,BUY_TREND,4638.66,4619.29,loss,SL_PHASE1,-1.0,-100.94,9992.58
2026-01-14 20:00:00+00:00,2026-01-15 03:00:00+00:00,BUY,BUY_TREND,4635.04,4608.77,loss,SL_PHASE1,-1.0,-99.93,9892.65
2026-01-22 11:00:00+00:00,2026-01-22 17:00:00+00:00,SELL,SELL_REVERSAL,4823.11,4868.99,loss,SL_PHASE1,-1.0,-98.93,9793.72
2026-01-23 14:00:00+00:00,2026-01-26 01:00:00+00:00,BUY,BUY_TREND,4939.34,5034.54,win,TP2,3.0,293.81,10087.54
2026-01-27 10:00:00+00:00,2026-01-27 17:00:00+00:00,SELL,SELL_REVERSAL,5079.38,5079.38,win,TRAIL_EXIT,0.0,50.44,10137.97
2026-01-29 13:00:00+00:00,2026-01-29 17:00:00+00:00,BUY,BUY_TREND,5522.59,5430.46,loss,SL_PHASE1,-1.0,-101.38,10036.59
2026-02-02 17:00:00+00:00,2026-02-03 03:00:00+00:00,SELL,SELL_TREND,4619.89,4791.12,loss,SL_PHASE1,-1.0,-100.37,9936.23
2026-02-05 17:00:00+00:00,2026-02-06 05:00:00+00:00,SELL,SELL_TREND,4817.52,4817.52,win,TRAIL_EXIT,0.0,49.68,9985.91
2026-02-09 16:00:00+00:00,2026-02-10 01:00:00+00:00,BUY,BUY_TREND,5037.73,5037.73,win,TRAIL_EXIT,0.0,49.93,10035.84
2026-02-10 09:00:00+00:00,2026-02-10 14:00:00+00:00,BUY,BUY_TREND,5032.81,5032.81,win,TRAIL_EXIT,0.0,50.18,10086.02
2026-02-11 12:00:00+00:00,2026-02-11 14:00:00+00:00,BUY,BUY_TREND,5094.79,5094.79,win,TRAIL_EXIT,0.0,50.43,10136.45
2026-02-11 18:00:00+00:00,2026-02-12 18:00:00+00:00,BUY,BUY_TREND,5076.28,5026.86,loss,SL_PHASE1,-1.0,-101.36,10035.08
2026-02-17 16:00:00+00:00,2026-02-18 05:00:00+00:00,SELL,SELL_TREND,4861.01,4910.24,loss,SL_PHASE1,-1.0,-100.35,9934.73
2026-02-18 20:00:00+00:00,2026-02-19 07:00:00+00:00,SELL,SELL_REVERSAL,4986.71,4986.71,win,TRAIL_EXIT,0.0,49.67,9984.41
2026-02-19 11:00:00+00:00,2026-02-19 15:00:00+00:00,SELL,SELL_REVERSAL,4996.11,4996.11,win,TRAIL_EXIT,0.0,49.92,10034.33
2026-02-20 07:00:00+00:00,2026-02-20 09:00:00+00:00,BUY,BUY_TREND,5012.47,5012.47,win,TRAIL_EXIT,0.0,50.17,10084.5
2026-02-23 12:00:00+00:00,2026-02-24 14:00:00+00:00,BUY,BUY_TREND,5163.01,5165.97,win,TRAIL_EXIT,0.1,50.42,10134.92
2026-02-27 07:00:00+00:00,2026-03-02 01:00:00+00:00,BUY,BUY_TREND,5197.81,5295.69,win,TP2,3.0,304.05,10438.97
2026-03-13 17:00:00+00:00,2026-03-13 20:00:00+00:00,SELL,SELL_TREND,5041.71,5041.71,win,TRAIL_EXIT,0.0,52.19,10491.16
2026-03-16 10:00:00+00:00,2026-03-16 13:00:00+00:00,SELL,SELL_TREND,4995.34,4995.34,win,TRAIL_EXIT,0.0,52.46,10543.62
2026-03-16 18:00:00+00:00,2026-03-17 04:00:00+00:00,SELL,SELL_TREND,4987.0,5024.3,loss,SL_PHASE1,-1.0,-105.44,10438.18
2026-03-17 13:00:00+00:00,2026-03-17 19:00:00+00:00,SELL,SELL_TREND,5000.22,5000.22,win,TRAIL_EXIT,0.0,52.19,10490.37
2026-03-18 11:00:00+00:00,2026-03-18 15:00:00+00:00,SELL,SELL_TREND,4987.53,4923.15,win,TP2,3.0,314.71,10805.09
2026-03-19 08:00:00+00:00,2026-03-19 11:00:00+00:00,SELL,SELL_TREND,4827.52,4716.46,win,TP2,3.0,324.15,11129.24
2026-03-20 09:00:00+00:00,2026-03-20 14:00:00+00:00,SELL,SELL_TREND,4669.2,4669.2,win,TRAIL_EXIT,0.0,55.65,11184.88
2026-03-24 14:00:00+00:00,2026-03-24 17:00:00+00:00,SELL,SELL_REVERSAL,4408.76,4408.76,win,TRAIL_EXIT,0.0,55.92,11240.81
2026-03-26 19:00:00+00:00,2026-03-27 01:00:00+00:00,SELL,SELL_TREND,4388.63,4388.63,win,TRAIL_EXIT,0.0,56.2,11297.01
2026-04-01 09:00:00+00:00,2026-04-01 15:00:00+00:00,BUY,BUY_TREND,4732.25,4732.25,win,TRAIL_EXIT,0.0,56.49,11353.5
2026-04-01 18:00:00+00:00,2026-04-02 04:00:00+00:00,BUY,BUY_TREND,4786.87,4742.46,loss,SL_PHASE1,-1.0,-113.53,11239.96
2026-04-07 20:00:00+00:00,2026-04-08 01:00:00+00:00,BUY,BUY_REENTRY,4675.99,4815.12,win,TP2,3.0,337.2,11577.16
2026-04-08 14:00:00+00:00,2026-04-08 17:00:00+00:00,BUY,BUY_TREND,4798.66,4747.72,loss,SL_PHASE1,-1.0,-115.77,11461.39
2026-04-14 11:00:00+00:00,2026-04-15 04:00:00+00:00,BUY,BUY_TREND,4786.73,4859.63,win,TP2,3.0,343.84,11805.23
