entry_time,exit_time,signal,signal_type,entry_price,exit_price,result,exit_reason,r_multiple,pnl,balance
2026-03-20 07:25:00+00:00,2026-03-20 08:00:00+00:00,BUY,BUY_TREND,4723.47,4715.51,loss,SL_PHASE1,-1.0,-100.0,9900.0
2026-03-20 08:15:00+00:00,2026-03-20 08:30:00+00:00,BUY,BUY_TREND,4720.59,4713.2,loss,SL_PHASE1,-1.0,-99.0,9801.0
2026-03-20 13:50:00+00:00,2026-03-20 14:00:00+00:00,SELL,SELL_TREND,4649.39,4649.39,win,TRAIL_EXIT,0.0,49.01,9850.0
2026-03-20 16:10:00+00:00,2026-03-20 16:40:00+00:00,SELL,SELL_TREND,4661.61,4661.61,win,TRAIL_EXIT,0.0,49.25,9899.26
2026-03-20 16:50:00+00:00,2026-03-20 17:25:00+00:00,SELL,SELL_TREND,4623.85,4559.21,win,TP2,3.0,296.98,10196.23
2026-03-20 18:15:00+00:00,2026-03-20 18:30:00+00:00,SELL,SELL_TREND,4563.19,4563.19,win,TRAIL_EXIT,0.0,50.98,10247.21
2026-03-20 18:55:00+00:00,2026-03-20 19:10:00+00:00,SELL,SELL_TREND,4553.3,4577.23,loss,SL_PHASE1,-1.0,-102.47,10144.74
2026-03-20 19:25:00+00:00,2026-03-20 19:35:00+00:00,SELL,SELL_REVERSAL,4584.66,4584.66,win,TRAIL_EXIT,0.0,50.72,10195.47
2026-03-23 08:20:00+00:00,2026-03-23 08:50:00+00:00,SELL,SELL_TREND,4354.57,4307.52,win,TP2,3.0,305.86,10501.33
2026-03-23 13:35:00+00:00,2026-03-23 14:00:00+00:00,SELL,SELL_REENTRY,4246.63,4275.9,loss,SL_PHASE1,-1.0,-105.01,10396.32
2026-03-23 16:35:00+00:00,2026-03-23 18:30:00+00:00,BUY,BUY_REVERSAL,4431.1,4433.67,win,TRAIL_EXIT,0.1,51.98,10448.3
2026-03-24 08:00:00+00:00,2026-03-24 08:15:00+00:00,SELL,SELL_TREND,4326.9,4341.61,loss,SL_PHASE1,-1.0,-104.48,10343.81
2026-03-24 08:30:00+00:00,2026-03-24 08:40:00+00:00,SELL,SELL_TREND,4332.56,4348.15,loss,SL_PHASE1,-1.0,-103.44,10240.38
2026-03-24 13:05:00+00:00,2026-03-24 14:00:00+00:00,BUY,BUY_TREND,4428.02,4428.02,win,TRAIL_EXIT,0.0,51.2,10291.58
2026-03-24 14:30:00+00:00,2026-03-24 14:50:00+00:00,BUY,BUY_TREND,4428.66,4404.94,loss,SL_PHASE1,-1.0,-102.92,10188.66
2026-03-24 17:35:00+00:00,2026-03-24 18:45:00+00:00,SELL,SELL_REVERSAL,4406.93,4429.28,loss,SL_PHASE1,-1.0,-101.89,10086.78
2026-03-24 19:15:00+00:00,2026-03-24 20:00:00+00:00,BUY,BUY_TREND,4423.44,4407.73,loss,SL_PHASE1,-1.0,-100.87,9985.91
2026-03-25 17:50:00+00:00,2026-03-25 22:05:00+00:00,SELL,SELL_REVERSAL,4566.95,4518.3,win,TP2,3.0,299.58,10285.49
2026-03-26 12:45:00+00:00,2026-03-26 13:20:00+00:00,SELL,SELL_TREND,4419.21,4436.98,loss,SL_PHASE1,-1.0,-102.85,10182.63
2026-03-26 13:40:00+00:00,2026-03-26 13:55:00+00:00,SELL,SELL_REENTRY,4428.54,4442.99,loss,SL_PHASE1,-1.0,-101.83,10080.8
2026-03-26 16:35:00+00:00,2026-03-26 16:40:00+00:00,SELL,SELL_REENTRY,4434.6,4450.44,loss,SL_PHASE1,-1.0,-100.81,9980.0
2026-03-26 20:20:00+00:00,2026-03-26 21:35:00+00:00,SELL,SELL_TREND,4385.3,4385.3,win,TRAIL_EXIT,0.0,49.9,10029.9
2026-03-27 07:30:00+00:00,2026-03-27 08:35:00+00:00,BUY,BUY_TREND,4439.86,4464.48,win,TP2,3.0,300.9,10330.79
2026-03-27 09:35:00+00:00,2026-03-27 10:00:00+00:00,BUY,BUY_TREND,4466.32,4452.63,loss,SL_PHASE1,-1.0,-103.31,10227.49
2026-03-27 11:35:00+00:00,2026-03-27 11:50:00+00:00,BUY,BUY_REVERSAL,4433.66,4433.66,win,TRAIL_EXIT,0.0,51.14,10278.62
2026-03-27 14:55:00+00:00,2026-03-27 15:10:00+00:00,SELL,SELL_REVERSAL,4419.4,4419.4,win,TRAIL_EXIT,0.0,51.39,10330.02
2026-03-27 19:45:00+00:00,2026-03-27 20:15:00+00:00,BUY,BUY_TREND,4519.87,4505.89,loss,SL_PHASE1,-1.0,-103.3,10226.72
2026-03-30 07:20:00+00:00,2026-03-30 08:45:00+00:00,BUY,BUY_REVERSAL,4494.21,4520.65,win,TP2,3.0,306.8,10533.52
2026-03-30 12:40:00+00:00,2026-03-30 14:00:00+00:00,BUY,BUY_TREND,4537.24,4527.61,loss,SL_PHASE1,-1.0,-105.34,10428.18
2026-03-30 14:10:00+00:00,2026-03-30 14:40:00+00:00,BUY,BUY_TREND,4538.43,4564.94,win,TP2,3.0,312.85,10741.03
2026-03-30 16:25:00+00:00,2026-03-30 16:35:00+00:00,BUY,BUY_TREND,4567.61,4567.61,win,TRAIL_EXIT,0.0,53.71,10794.73
2026-03-31 08:30:00+00:00,2026-03-31 08:50:00+00:00,BUY,BUY_TREND,4575.43,4575.43,win,TRAIL_EXIT,0.0,53.97,10848.71
2026-03-31 15:05:00+00:00,2026-03-31 15:10:00+00:00,BUY,BUY_TREND,4592.01,4575.07,loss,SL_PHASE1,-1.0,-108.49,10740.22
2026-03-31 15:30:00+00:00,2026-03-31 17:30:00+00:00,BUY,BUY_TREND,4582.98,4629.23,win,TP2,3.0,322.21,11062.43
2026-03-31 18:00:00+00:00,2026-03-31 18:25:00+00:00,BUY,BUY_TREND,4613.3,4613.3,win,TRAIL_EXIT,0.0,55.31,11117.74
2026-03-31 18:40:00+00:00,2026-03-31 20:40:00+00:00,BUY,BUY_TREND,4621.15,4662.01,win,TP2,3.0,333.53,11451.27
2026-04-01 13:25:00+00:00,2026-04-01 14:35:00+00:00,BUY,BUY_TREND,4728.63,4757.45,win,TP2,3.0,343.54,11794.81
2026-04-01 15:30:00+00:00,2026-04-01 15:45:00+00:00,BUY,BUY_TREND,4744.48,4744.48,win,TRAIL_EXIT,0.0,58.97,11853.78
2026-04-01 17:35:00+00:00,2026-04-01 21:00:00+00:00,BUY,BUY_TREND,4748.17,4774.35,win,TRAIL_EXIT,1.4,59.27,11913.05
2026-04-02 08:30:00+00:00,2026-04-02 08:45:00+00:00,SELL,SELL_TREND,4651.68,4613.1,win,TP2,3.0,357.39,12270.44
2026-04-02 13:15:00+00:00,2026-04-02 13:25:00+00:00,SELL,SELL_TREND,4614.86,4614.86,win,TRAIL_EXIT,0.0,61.35,12331.79
2026-04-02 14:25:00+00:00,2026-04-02 15:20:00+00:00,SELL,SELL_TREND,4614.84,4614.84,win,TRAIL_EXIT,0.0,61.66,12393.45
2026-04-06 09:10:00+00:00,2026-04-06 10:00:00+00:00,BUY,BUY_TREND,4660.95,4660.95,win,TRAIL_EXIT,0.0,61.97,12455.42
2026-04-06 11:40:00+00:00,2026-04-06 13:05:00+00:00,BUY,BUY_TREND,4693.06,4693.06,win,TRAIL_EXIT,0.0,62.28,12517.7
2026-04-06 18:25:00+00:00,2026-04-06 20:10:00+00:00,BUY,BUY_REVERSAL,4667.43,4653.32,loss,SL_PHASE1,-1.0,-125.18,12392.52
2026-04-07 07:55:00+00:00,2026-04-07 08:25:00+00:00,SELL,SELL_REVERSAL,4660.45,4644.29,win,TP2,3.0,371.78,12764.3
2026-04-07 10:50:00+00:00,2026-04-07 11:00:00+00:00,SELL,SELL_TREND,4639.33,4647.97,loss,SL_PHASE1,-1.0,-127.64,12636.65
2026-04-07 12:15:00+00:00,2026-04-07 12:40:00+00:00,BUY,BUY_TREND,4690.25,4675.7,loss,SL_PHASE1,-1.0,-126.37,12510.29
2026-04-07 17:00:00+00:00,2026-04-07 17:20:00+00:00,SELL,SELL_TREND,4624.52,4624.52,win,TRAIL_EXIT,0.0,62.55,12572.84
2026-04-07 17:50:00+00:00,2026-04-07 18:10:00+00:00,SELL,SELL_REVERSAL,4638.74,4638.74,win,TRAIL_EXIT,0.0,62.86,12635.7
2026-04-07 20:35:00+00:00,2026-04-07 21:20:00+00:00,BUY,BUY_TREND,4679.36,4679.36,win,TRAIL_EXIT,0.0,63.18,12698.88
2026-04-08 08:00:00+00:00,2026-04-08 08:45:00+00:00,BUY,BUY_TREND,4805.96,4830.79,win,TP2,3.0,380.97,13079.85
2026-04-08 15:35:00+00:00,2026-04-08 16:10:00+00:00,BUY,BUY_REENTRY,4796.65,4796.65,win,TRAIL_EXIT,0.0,65.4,13145.25
2026-04-08 18:50:00+00:00,2026-04-08 19:35:00+00:00,SELL,SELL_TREND,4757.6,4757.6,win,TRAIL_EXIT,0.0,65.73,13210.97
2026-04-09 07:30:00+00:00,2026-04-09 07:50:00+00:00,SELL,SELL_REENTRY,4715.87,4721.7,loss,SL_PHASE1,-1.0,-132.11,13078.86
2026-04-09 08:05:00+00:00,2026-04-09 08:15:00+00:00,SELL,SELL_REENTRY,4716.38,4716.38,win,TRAIL_EXIT,0.0,65.39,13144.26
2026-04-09 09:15:00+00:00,2026-04-09 10:05:00+00:00,SELL,SELL_TREND,4716.56,4716.56,win,TRAIL_EXIT,0.0,65.72,13209.98
2026-04-09 10:20:00+00:00,2026-04-09 10:30:00+00:00,SELL,SELL_TREND,4713.59,4713.59,win,TRAIL_EXIT,0.0,66.05,13276.03
2026-04-09 14:25:00+00:00,2026-04-09 15:05:00+00:00,BUY,BUY_TREND,4745.8,4745.8,win,TRAIL_EXIT,0.0,66.38,13342.41
2026-04-09 16:05:00+00:00,2026-04-09 18:15:00+00:00,BUY,BUY_TREND,4749.43,4779.88,win,TP2,3.0,400.27,13742.68
2026-04-09 19:00:00+00:00,2026-04-09 21:10:00+00:00,BUY,BUY_TREND,4796.58,4783.67,loss,SL_PHASE1,-1.0,-137.43,13605.25
2026-04-10 10:40:00+00:00,2026-04-10 12:15:00+00:00,SELL,SELL_TREND,4754.08,4750.95,win,TRAIL_EXIT,0.4,68.03,13673.28
2026-04-10 13:35:00+00:00,2026-04-10 14:20:00+00:00,SELL,SELL_REVERSAL,4754.46,4760.86,loss,SL_PHASE1,-1.0,-136.73,13536.55
2026-04-10 15:30:00+00:00,2026-04-10 15:45:00+00:00,BUY,BUY_TREND,4780.42,4771.51,loss,SL_PHASE1,-1.0,-135.37,13401.18
2026-04-10 16:45:00+00:00,2026-04-10 17:45:00+00:00,BUY,BUY_TREND,4773.45,4773.45,win,TRAIL_EXIT,0.0,67.01,13468.19
2026-04-10 18:10:00+00:00,2026-04-10 18:35:00+00:00,BUY,BUY_TREND,4781.86,4769.41,loss,SL_PHASE1,-1.0,-134.68,13333.51
2026-04-13 13:15:00+00:00,2026-04-13 13:30:00+00:00,SELL,SELL_TREND,4713.23,4713.23,win,TRAIL_EXIT,0.0,66.67,13400.17
2026-04-13 18:50:00+00:00,2026-04-13 19:15:00+00:00,SELL,SELL_TREND,4712.31,4722.51,loss,SL_PHASE1,-1.0,-134.0,13266.17
2026-04-14 07:15:00+00:00,2026-04-14 07:35:00+00:00,BUY,BUY_TREND,4773.66,4773.66,win,TRAIL_EXIT,0.0,66.33,13332.5
2026-04-14 14:30:00+00:00,2026-04-14 15:30:00+00:00,SELL,SELL_REVERSAL,4773.88,4773.88,win,TRAIL_EXIT,0.0,66.66,13399.17
2026-04-14 17:05:00+00:00,2026-04-14 17:40:00+00:00,BUY,BUY_TREND,4802.02,4802.02,win,TRAIL_EXIT,0.0,67.0,13466.16
2026-04-14 17:55:00+00:00,2026-04-14 20:40:00+00:00,BUY,BUY_TREND,4803.85,4841.25,win,TP2,3.0,403.98,13870.15
